"","Model","Region","Scenario","Year","Inequality index|Gini","Gini_recomputed","Gini_full"
"1","AIM","Brazil","1150",2010,0.533423,0.5183285,0.533423
"2","AIM","Brazil","1150",2015,0.534426,0.51936701968351,0.534426
"3","AIM","Brazil","1150",2020,0.535429,0.52040554040554,0.535429
"4","AIM","Brazil","1150",2025,0.5382755,0.523136907352681,0.5382755
"5","AIM","Brazil","1150",2030,0.541122,0.525868272934137,0.541122
"6","AIM","Brazil","1150",2035,0.541308,0.526043561567604,0.541308
"7","AIM","Brazil","1150",2040,0.541494,0.526218850006501,0.541494
"8","AIM","Brazil","1150",2045,0.541561,0.526239331067096,0.541561
"9","AIM","Brazil","1150",2050,0.541628,0.526259812159027,0.541628
"10","AIM","Canada","1150",2010,0.332456,0.325848042584804,0.332456
"11","AIM","Canada","1150",2015,0.337324,0.330595041529752,0.337324
"12","AIM","Canada","1150",2020,0.342192,0.33534204,0.342192
"13","AIM","Canada","1150",2025,0.3481705,0.341157682347305,0.3481705
"14","AIM","Canada","1150",2030,0.354149,0.346973328183997,0.354149
"15","AIM","Canada","1150",2035,0.3601785,0.352831481132593,0.3601785
"16","AIM","Canada","1150",2040,0.366208,0.358689631737926,0.366208
"17","AIM","Canada","1150",2045,0.372696,0.364978456497846,0.372696
"18","AIM","Canada","1150",2050,0.379184,0.37126728,0.379184
"19","AIM","China","1150",2010,0.434617,0.423291510683396,0.434617
"20","AIM","China","1150",2015,0.409622,0.39956240026256,0.409622
"21","AIM","China","1150",2020,0.384627,0.37583329933336,0.384627
"22","AIM","China","1150",2025,0.3810795,0.372550395587203,0.3810795
"23","AIM","China","1150",2030,0.377532,0.369267491512756,0.377532
"24","AIM","China","1150",2035,0.3689695,0.361056090313541,0.3689695
"25","AIM","China","1150",2040,0.360407,0.352844688293187,0.360407
"26","AIM","China","1150",2045,0.349738,0.34253545149291,0.349738
"27","AIM","China","1150",2050,0.339069,0.332226206445241,0.339069
"28","AIM","France","1150",2010,0.333756,0.327087073543537,0.333756
"29","AIM","France","1150",2015,0.3292215,0.322691501345751,0.3292215
"30","AIM","France","1150",2020,0.324687,0.318295929147964,0.324687
