,Model,Region,Variable,Unit,Year,WP4_REF,Scenario,value,change,DEC
1,AIM,JPN,Consumption Decile|D1,%,2010,3.12758,WP4_1150,3.12758,0,1
2,AIM,JPN,Consumption Decile|D1,%,2010,3.12758,WP4_1150_redist,3.12758,0,1
3,AIM,JPN,Consumption Decile|D1,%,2010,3.12758,WP4_650,3.12758,0,1
4,AIM,JPN,Consumption Decile|D1,%,2010,3.12758,WP4_650_redist,3.12758,0,1
5,AIM,JPN,Consumption Decile|D1,%,2020,3.10315,WP4_1150,3.10315,0,1
6,AIM,JPN,Consumption Decile|D1,%,2020,3.10315,WP4_1150_redist,3.10315,0,1
7,AIM,JPN,Consumption Decile|D1,%,2020,3.10315,WP4_650,3.10315,0,1
8,AIM,JPN,Consumption Decile|D1,%,2020,3.10315,WP4_650_redist,3.10315,0,1
9,AIM,JPN,Consumption Decile|D1,%,2030,3.04062,WP4_1150,3.2458,6.747965875,1
10,AIM,JPN,Consumption Decile|D1,%,2030,3.04062,WP4_1150_redist,3.59222,18.14103703,1
11,AIM,JPN,Consumption Decile|D1,%,2030,3.04062,WP4_650,3.25874,7.173536976,1
12,AIM,JPN,Consumption Decile|D1,%,2030,3.04062,WP4_650_redist,3.92509,29.08847538,1
13,AIM,JPN,Consumption Decile|D1,%,2040,3.00827,WP4_1150,3.00792,-0.011634594,1
14,AIM,JPN,Consumption Decile|D1,%,2040,3.00827,WP4_1150_redist,3.41633,13.5646069,1
15,AIM,JPN,Consumption Decile|D1,%,2040,3.00827,WP4_650,3.15941,5.024150093,1
16,AIM,JPN,Consumption Decile|D1,%,2040,3.00827,WP4_650_redist,3.62362,20.45527828,1
17,AIM,JPN,Consumption Decile|D1,%,2050,2.98302,WP4_1150,2.98267,-0.011733076,1
18,AIM,JPN,Consumption Decile|D1,%,2050,2.98302,WP4_1150_redist,3.39216,13.71563047,1
19,AIM,JPN,Consumption Decile|D1,%,2050,2.98302,WP4_650,3.08823,3.526962608,1
20,AIM,JPN,Consumption Decile|D1,%,2050,2.98302,WP4_650_redist,3.45356,15.77394721,1
21,AIM,JPN,Consumption Decile|D1,%,2060,2.968866685,WP4_1150,3.036007435,2.261494261,1
22,AIM,JPN,Consumption Decile|D1,%,2060,2.968866685,WP4_1150_redist,3.437167081,15.77370914,1
23,AIM,JPN,Consumption Decile|D1,%,2060,2.968866685,WP4_650,3.036336095,2.272564504,1
24,AIM,JPN,Consumption Decile|D1,%,2060,2.968866685,WP4_650_redist,3.31829118,11.76962567,1
25,AIM,JPN,Consumption Decile|D1,%,2070,2.980773884,WP4_1150,3.019188694,1.288752912,1
26,AIM,JPN,Consumption Decile|D1,%,2070,2.980773884,WP4_1150_redist,3.307904336,10.97468188,1
